Part,Tool,Cavity,Date,라벨,"FAI 6(A) / SPC F"
"Memphis Z Carrier",A,1CAV,2026-03-01,"Data 1",0.7125
"Memphis Z Carrier",A,1CAV,2026-03-01,"Data 2",0.711
"Memphis Z Carrier",A,1CAV,2026-03-01,"Data 3",0.7094
"Memphis Z Carrier",A,2CAV,2026-03-01,"Data 1",0.7196
"Memphis Z Carrier",A,2CAV,2026-03-01,"Data 2",0.7195
"Memphis Z Carrier",A,2CAV,2026-03-01,"Data 3",0.7188
"Memphis Z Carrier",A,3CAV,2026-03-01,"Data 1",0.7162
"Memphis Z Carrier",A,3CAV,2026-03-01,"Data 2",0.7178
"Memphis Z Carrier",A,3CAV,2026-03-01,"Data 3",0.7141
"Memphis Z Carrier",A,4CAV,2026-03-01,"Data 1",0.7195
"Memphis Z Carrier",A,4CAV,2026-03-01,"Data 2",0.7164
"Memphis Z Carrier",A,4CAV,2026-03-01,"Data 3",0.7167
"Memphis Z Carrier",A,1CAV,2026-03-02,"Data 1",0.7116
"Memphis Z Carrier",A,1CAV,2026-03-02,"Data 2",0.7097
"Memphis Z Carrier",A,1CAV,2026-03-02,"Data 3",0.7122
"Memphis Z Carrier",A,2CAV,2026-03-02,"Data 1",0.7141
"Memphis Z Carrier",A,2CAV,2026-03-02,"Data 2",0.7131
"Memphis Z Carrier",A,2CAV,2026-03-02,"Data 3",0.7173
"Memphis Z Carrier",A,3CAV,2026-03-02,"Data 1",0.7175
"Memphis Z Carrier",A,3CAV,2026-03-02,"Data 2",0.7162
"Memphis Z Carrier",A,3CAV,2026-03-02,"Data 3",0.7151
"Memphis Z Carrier",A,4CAV,2026-03-02,"Data 1",0.7133
"Memphis Z Carrier",A,4CAV,2026-03-02,"Data 2",0.7145
"Memphis Z Carrier",A,4CAV,2026-03-02,"Data 3",0.7162
"Memphis Z Carrier",A,1CAV,2026-03-03,"Data 1",0.7135
"Memphis Z Carrier",A,1CAV,2026-03-03,"Data 2",0.7187
"Memphis Z Carrier",A,1CAV,2026-03-03,"Data 3",0.7151
"Memphis Z Carrier",A,2CAV,2026-03-03,"Data 1",0.7164
"Memphis Z Carrier",A,2CAV,2026-03-03,"Data 2",0.7179
"Memphis Z Carrier",A,2CAV,2026-03-03,"Data 3",0.7169
"Memphis Z Carrier",A,3CAV,2026-03-03,"Data 1",0.7191
"Memphis Z Carrier",A,3CAV,2026-03-03,"Data 2",0.7208
"Memphis Z Carrier",A,3CAV,2026-03-03,"Data 3",0.7206
"Memphis Z Carrier",A,4CAV,2026-03-03,"Data 1",0.716
"Memphis Z Carrier",A,4CAV,2026-03-03,"Data 2",0.7166
"Memphis Z Carrier",A,4CAV,2026-03-03,"Data 3",0.7186
"Memphis Z Carrier",A,1CAV,2026-03-04,"Data 1",0.7212
"Memphis Z Carrier",A,1CAV,2026-03-04,"Data 2",0.714
"Memphis Z Carrier",A,1CAV,2026-03-04,"Data 3",0.7176
"Memphis Z Carrier",A,2CAV,2026-03-04,"Data 1",0.7153
"Memphis Z Carrier",A,2CAV,2026-03-04,"Data 2",0.7235
"Memphis Z Carrier",A,2CAV,2026-03-04,"Data 3",0.7163
"Memphis Z Carrier",A,3CAV,2026-03-04,"Data 1",0.7224
"Memphis Z Carrier",A,3CAV,2026-03-04,"Data 2",0.7213
"Memphis Z Carrier",A,3CAV,2026-03-04,"Data 3",0.723
"Memphis Z Carrier",A,4CAV,2026-03-04,"Data 1",0.7191
"Memphis Z Carrier",A,4CAV,2026-03-04,"Data 2",0.7192
"Memphis Z Carrier",A,4CAV,2026-03-04,"Data 3",0.7144
"Memphis Z Carrier",A,1CAV,2026-03-05,"Data 1",0.7161
"Memphis Z Carrier",A,1CAV,2026-03-05,"Data 2",0.7132
"Memphis Z Carrier",A,1CAV,2026-03-05,"Data 3",0.716
"Memphis Z Carrier",A,2CAV,2026-03-05,"Data 1",0.7174
"Memphis Z Carrier",A,2CAV,2026-03-05,"Data 2",0.718
"Memphis Z Carrier",A,2CAV,2026-03-05,"Data 3",0.7185
"Memphis Z Carrier",A,3CAV,2026-03-05,"Data 1",0.7194
"Memphis Z Carrier",A,3CAV,2026-03-05,"Data 2",0.7196
"Memphis Z Carrier",A,3CAV,2026-03-05,"Data 3",0.7191
"Memphis Z Carrier",A,4CAV,2026-03-05,"Data 1",0.7171
"Memphis Z Carrier",A,4CAV,2026-03-05,"Data 2",0.718
"Memphis Z Carrier",A,4CAV,2026-03-05,"Data 3",0.7142
"Memphis Z Carrier",A,1CAV,2026-03-06,"Data 1",0.7141
"Memphis Z Carrier",A,1CAV,2026-03-06,"Data 2",0.7155
"Memphis Z Carrier",A,1CAV,2026-03-06,"Data 3",0.7135
"Memphis Z Carrier",A,2CAV,2026-03-06,"Data 1",0.7177
"Memphis Z Carrier",A,2CAV,2026-03-06,"Data 2",0.7194
"Memphis Z Carrier",A,2CAV,2026-03-06,"Data 3",0.7179
"Memphis Z Carrier",A,3CAV,2026-03-06,"Data 1",0.72
"Memphis Z Carrier",A,3CAV,2026-03-06,"Data 2",0.7203
"Memphis Z Carrier",A,3CAV,2026-03-06,"Data 3",0.7197
"Memphis Z Carrier",A,4CAV,2026-03-06,"Data 1",0.7167
"Memphis Z Carrier",A,4CAV,2026-03-06,"Data 2",0.7165
"Memphis Z Carrier",A,4CAV,2026-03-06,"Data 3",0.7158
"Memphis Z Carrier",A,1CAV,2026-03-07,"Data 1",0.7183
"Memphis Z Carrier",A,1CAV,2026-03-07,"Data 2",0.7143
"Memphis Z Carrier",A,1CAV,2026-03-07,"Data 3",0.7198
"Memphis Z Carrier",A,2CAV,2026-03-07,"Data 1",0.7164
"Memphis Z Carrier",A,2CAV,2026-03-07,"Data 2",0.7188
"Memphis Z Carrier",A,2CAV,2026-03-07,"Data 3",0.7178
"Memphis Z Carrier",A,3CAV,2026-03-07,"Data 1",0.722
"Memphis Z Carrier",A,3CAV,2026-03-07,"Data 2",0.7182
"Memphis Z Carrier",A,3CAV,2026-03-07,"Data 3",0.7212
"Memphis Z Carrier",A,4CAV,2026-03-07,"Data 1",0.7155
"Memphis Z Carrier",A,4CAV,2026-03-07,"Data 2",0.7188
"Memphis Z Carrier",A,4CAV,2026-03-07,"Data 3",0.7167
"Memphis Z Carrier",A,1CAV,2026-03-08,"Data 1",0.7148
"Memphis Z Carrier",A,1CAV,2026-03-08,"Data 2",0.7148
"Memphis Z Carrier",A,1CAV,2026-03-08,"Data 3",0.7157
"Memphis Z Carrier",A,2CAV,2026-03-08,"Data 1",0.7178
"Memphis Z Carrier",A,2CAV,2026-03-08,"Data 2",0.7209
"Memphis Z Carrier",A,2CAV,2026-03-08,"Data 3",0.7189
"Memphis Z Carrier",A,3CAV,2026-03-08,"Data 1",0.7198
"Memphis Z Carrier",A,3CAV,2026-03-08,"Data 2",0.7233
"Memphis Z Carrier",A,3CAV,2026-03-08,"Data 3",0.7218
"Memphis Z Carrier",A,4CAV,2026-03-08,"Data 1",0.7176
"Memphis Z Carrier",A,4CAV,2026-03-08,"Data 2",0.719
"Memphis Z Carrier",A,4CAV,2026-03-08,"Data 3",0.7178
"Memphis Z Carrier",A,1CAV,2026-03-09,"Data 1",0.7157
"Memphis Z Carrier",A,1CAV,2026-03-09,"Data 2",0.7149
"Memphis Z Carrier",A,1CAV,2026-03-09,"Data 3",0.7128
"Memphis Z Carrier",A,2CAV,2026-03-09,"Data 1",0.718
"Memphis Z Carrier",A,2CAV,2026-03-09,"Data 2",0.7228
"Memphis Z Carrier",A,2CAV,2026-03-09,"Data 3",0.7192
"Memphis Z Carrier",A,3CAV,2026-03-09,"Data 1",0.7187
"Memphis Z Carrier",A,3CAV,2026-03-09,"Data 2",0.7204
"Memphis Z Carrier",A,3CAV,2026-03-09,"Data 3",0.7177
"Memphis Z Carrier",A,4CAV,2026-03-09,"Data 1",0.7147
"Memphis Z Carrier",A,4CAV,2026-03-09,"Data 2",0.7231
"Memphis Z Carrier",A,4CAV,2026-03-09,"Data 3",0.7152
"Memphis Z Carrier",A,1CAV,2026-03-10,"Data 1",0.7153
"Memphis Z Carrier",A,1CAV,2026-03-10,"Data 2",0.7199
"Memphis Z Carrier",A,1CAV,2026-03-10,"Data 3",0.7151
"Memphis Z Carrier",A,2CAV,2026-03-10,"Data 1",0.7194
"Memphis Z Carrier",A,2CAV,2026-03-10,"Data 2",0.7236
"Memphis Z Carrier",A,2CAV,2026-03-10,"Data 3",0.7176
"Memphis Z Carrier",A,3CAV,2026-03-10,"Data 1",0.7202
"Memphis Z Carrier",A,3CAV,2026-03-10,"Data 2",0.7214
"Memphis Z Carrier",A,3CAV,2026-03-10,"Data 3",0.7198
"Memphis Z Carrier",A,4CAV,2026-03-10,"Data 1",0.7172
"Memphis Z Carrier",A,4CAV,2026-03-10,"Data 2",0.7178
"Memphis Z Carrier",A,4CAV,2026-03-10,"Data 3",0.7164
